# Bolo Mac BB1 BB2 chal1 chal2 col1 col2 vet1 vet2 gar1 gar2
FID807 s3 BBv23 BBv1 "chalA FID807" "chalB FID807" "slowB FID807" "slowD FID807" "slowA FID807" "slowC FID807" "NONE" "NONE"
FID810 s1 BBv23 BBv1 "chalA FID810" "chalB FID810" "slowB FID810" "slowD FID810" "slowA FID810" "slowC FID810" "NONE" "NONE"
FID817 s1 BBv23 BBv1 "chalA FID817" "chalB FID817" "slowB FID817" "slowD FID817" "slowA FID817" "slowC FID817" "NONE" "NONE"
FID820 s3 BBv23 BBv1 "chalA FID820" "chalB FID820" "slowB FID820" "slowD FID820" "slowA FID820" "slowC FID820" "NONE" "NONE"
FID821 s3 BBv23 BBv1 "chalA FID821" "chalB FID821" "slowB FID821" "slowD FID821" "slowA FID821" "slowC FID821" "NONE" "NONE"
FID822 s3 BBv23 BBv1 "chalA FID822" "chalB FID822" "slowB FID822" "slowD FID822" "slowA FID822" "slowC FID822" "NONE" "NONE"
FID823 s1 BBv23 BBv1 "chalA FID823" "chalB FID823" "slowB FID823" "slowD FID823" "slowA FID823" "slowC FID823" "NONE" "NONE"
FID824 s1 BBv23 BBv1 "chalA FID824" "chalB FID824" "slowB FID824" "slowD FID824" "slowA FID824" "slowC FID824" "NONE" "NONE"
FID825 s1 BBv23 BBv1 "chalA FID825" "chalB FID825" "slowB FID825" "slowD FID825" "slowA FID825" "slowC FID825" "NONE" "NONE"
FID826 s1 BBv23 BBv1 "chalA FID826" "chalB FID826" "slowB FID826" "slowD FID826" "slowA FID826" "slowC FID826" "NONE" "NONE"
FID827 s1 BBv23 BBv23 "chalA FID827" "chalB FID827" "slowB FID827" "slowD FID827" "slowA FID827" "slowC FID827" "NONE" "NONE"
FID828 s1 BBv23 BBv1 "chalA FID828" "chalB FID828" "slowB FID828" "slowD FID828" "slowA FID828" "slowC FID828" "NONE" "NONE"
FID831 s2 BBv23 BBv1 "chalA FID831" "chalB FID831" "slowB FID831" "slowD FID831" "slowA FID831" "slowC FID831" "NONE" "NONE"
FID832 s3 BBv23 BBv1 "chalA FID832" "chalB FID832" "slowB FID832" "slowD FID832" "slowA FID832" "slowC FID832" "NONE" "NONE"
FID837 s2 BBv23 BBv23 "chalA FID837" "chalB FID837" "slowB FID837" "slowD FID837" "slowA FID837" "slowC FID837" "NONE" "NONE"
FID838 s2 BBv23 BBv1 "chalA FID838" "chalB FID838" "slowB FID838" "slowD FID838" "slowA FID838" "slowC FID838" "NONE" "NONE"
FID839 s2 BBv23 BBv23 "chalA FID839" "chalB FID839" "slowB FID839" "slowD FID839" "slowA FID839" "slowC FID839" "NONE" "NONE"
FID840 s3 BBv23 BBv1 "chalA FID840" "chalB FID840" "slowB FID840" "slowD FID840" "slowA FID840" "slowC FID840" "NONE" "NONE"
FID841 s3 BBv23 BBv1 "chalA FID841" "chalB FID841" "slowB FID841" "slowD FID841" "slowA FID841" "slowC FID841" "NONE" "NONE"
FID842 s3 BBv23 BBv1 "chalA FID842" "chalB FID842" "slowB FID842" "slowD FID842" "slowA FID842" "slowC FID842" "NONE" "NONE"
FID843 s3 BBv23 BBv1 "chalA FID843" "chalB FID843" "slowB FID843" "slowD FID843" "slowA FID843" "slowC FID843" "NONE" "NONE"
FID844 s3 BBv23 BBv1 "chalA FID844" "chalB FID844" "slowB FID844" "slowD FID844" "slowA FID844" "slowC FID844" "NONE" "NONE"
FID845 s3 BBv23 BBv1 "chalA FID845" "chalB FID845" "slowB FID845" "slowD FID845" "slowA FID845" "slowC FID845" "NONE" "NONE"
FID846 s3 BBv23 BBv1 "chalA FID846" "chalB FID846" "slowB FID846" "slowD FID846" "slowA FID846" "slowC FID846" "NONE" "NONE"
