# Voie Numero_Samba StartRun StopRun
"chalA FID823" 40 - -
"chalB FID823" 41 - -
"chalA FID824" 50 - -
"chalB FID824" 51 - -
"chalA FID825" 60 - -
"chalB FID825" 61 - -
"chalA FID810" 70 - -
"chalB FID810" 71 - -
"chalA FID826" 80 - -
"chalB FID826" 81 - -
"chalA FID827" 90 - -
"chalB FID827" 91 - -
"chalA FID828" 100 - -
"chalB FID828" 101 - -
"chalA FID817" 110 - -
"chalB FID817" 111 - -
"chalA FID837" 200 - oi02b000
"chalB FID837" 201 - oi02b000
"chalA FID838" 210 - oi02b000
"chalB FID838" 211 - oi02b000
"chalA FID839" 220 - oi02b000
"chalB FID839" 221 - oi02b000
"chalA FID831" 230 - oi02b000
"chalB FID831" 231 - oi02b000
"chalA FID820" 240 - oi02c000
"chalB FID820" 241 - oi02c000
"chalA FID821" 250 - oi02c000
"chalB FID821" 251 - oi02c000
"chalA FID822" 260 - oi02c000
"chalB FID822" 261 - oi02c000
"chalA FID807" 270 - oi02c000
"chalB FID807" 271 - oi02c000
"chalA FID840" 280 - oi02c000
"chalB FID840" 281 - oi02c000
"chalA FID841" 290 - oi02c000
"chalB FID841" 291 - oi02c000
"chalA FID842" 300 - oi02c000
"chalB FID842" 301 - oi02c000
"chalA FID832" 310 - oi02c000
"chalB FID832" 311 - oi02c000
"chalA FID843" 320 - oi02c000
"chalB FID843" 321 - oi02c000
"chalA FID844" 330 - oi02c000
"chalB FID844" 331 - oi02c000
"chalA FID845" 340 - oi02c000
"chalB FID845" 341 - oi02c000
"chalA FID846" 350 - oi02c000
"chalB FID846" 351 - oi02c000
"chalA FID837" 190 oi05b002 -
"chalB FID837" 191 oi05b002 -
"chalA FID838" 200 oi05b002 -
"chalB FID838" 201 oi05b002 -
"chalA FID839" 210 oi05b002 -
"chalB FID839" 211 oi05b002 -
"chalA FID831" 220 oi05b002 -
"chalB FID831" 221 oi05b002 -
"chalA FID820" 230 oi05c002 -
"chalB FID820" 231 oi05c002 -
"chalA FID821" 240 oi05c002 -
"chalB FID821" 241 oi05c002 -
"chalA FID822" 250 oi05c002 -
"chalB FID822" 251 oi05c002 -
"chalA FID807" 260 oi05c002 -
"chalB FID807" 261 oi05c002 -
"chalA FID840" 270 oi05c002 -
"chalB FID840" 271 oi05c002 -
"chalA FID841" 280 oi05c002 -
"chalB FID841" 281 oi05c002 -
"chalA FID842" 290 oi05c002 -
"chalB FID842" 291 oi05c002 -
"chalA FID832" 300 oi05c002 -
"chalB FID832" 301 oi05c002 -
"chalA FID843" 310 oi05c002 -
"chalB FID843" 311 oi05c002 -
"chalA FID844" 320 oi05c002 -
"chalB FID844" 321 oi05c002 -
"chalA FID845" 330 oi05c002 -
"chalB FID845" 331 oi05c002 -
"chalA FID846" 340 oi05c002 -
"chalB FID846" 341 oi05c002 -
